Marked,Time,Serial Bus,ID,Type,DLC,Data,CRC,Errors
,-99.90ms,Serial1,,,,,,
,-99.87ms,Serial1,18EFFF00,Data,8,64 10 00 00 62 01 04 7D,7BD6,
,-90.94ms,Serial1,0CF00400,Data,8,FE FF BB 2A 0B FF FF FF,4413,
,-80.45ms,Serial1,0CF00300,Data,8,FF 00 64 FF 00 FF FF FF,2214,
,-79.87ms,Serial1,0CEFFF00,Data,8,64 06 8C 7D FF FF FF FF,4C16,
,-79.84ms,Serial1,18FEEE00,Data,8,3F 3D FF FF FF FF FF FF,446D,
,-70.98ms,Serial1,0CF00400,Data,8,FE FF BA 82 0C FF FF FF,45EC,
,-60.42ms,Serial1,0CEFFF00,Data,8,FF 00 64 FF 00 FF FF FF 64 06 8C 7D FF FF FF FF,4C16,
,-50.37ms,Serial1,0CF00400,Data,8,FE FF BB B8 0C FF FF FF,4BEC,
,-50.34ms,Serial1,18FEDF00,Data,8,84 20 1C FF FF FF FF FF,4B5D,
,-40.42ms,Serial1,0CF00300,Data,8,FF 00 64 FF 00 FF FF FF,2214,
,-39.84ms,Serial1,0CEFFF00,Data,8,64 06 8C 7D FF FF FF FF,4C16,
,-39.81ms,Serial1,18FEF200,Data,8,3C 00 FF FF FF FF FF FF,6B5A,
,-30.98ms,Serial1,0CF00400,Data,8,FE FF BB 74 0C FF FF FF,7EC7,
,-19.84ms,Serial1,18EF0600,Data,8,FF 00 64 FF 00 FF FF FF 64 06 8C 7D FF FF FF FF 64 0E 29 0E FF FF FF FF,3E0E,
,-10.98ms,Serial1,0CF00400,Data,8,FE FF BB 8E 0B FF FF FF,3E9E,
,-448.0us,Serial1,0CF00300,Data,8,FF 00 64 FF 00 FF FF FF,2214,
,128.0us,Serial1,0CEFFF00,Data,8,64 06 8C 7D FF FF FF FF,4C16,
,704.0us,Serial1,18EFFF00,Data,8,64 10 00 00 54 01 00 7D,0BBA,
,736.0us,Serial1,18FEF700,Data,8,FF FF FF FF FF FF FD 00,5D89,
,9.056ms,Serial1,0CF00400,Data,8,FE FF BA 88 09 FF FF FF,0399,
,19.58ms,Serial1,0CF00300,Data,8,FF 00 64 FF 00 FF FF FF,2214,
,19.62ms,Serial1,0CEFFF00,Data,8,64 06 8C 7D FF FF FF FF,4C16,
,29.02ms,Serial1,0CF00400,Data,8,FE FF B9 26 0A FF FF FF,5B05,
,39.52ms,Serial1,0CF00300,Data,8,FF 00 64 FF 00 FF FF FF,2214,
,39.55ms,Serial1,0CEFFF00,Data,8,64 06 8C 7D FF FF FF FF,4C16,
,49.09ms,Serial1,0CF00400,Data,8,FE FF B9 10 0B FF FF FF,6867,
,59.04ms,Serial1,0CF00300,Data,8,FF 00 64 FF 00 FF FF FF,2214,
,59.62ms,Serial1,0CEFFF00,Data,8,64 06 8C 7D FF FF FF FF,4C16,
,60.19ms,Serial1,18FEF200,Data,8,33 00 FF FF FF FF FF FF,612E,
,69.02ms,Serial1,0CF00400,Data,8,FE FF BA 02 0B FF FF FF,1212,
,79.55ms,Serial1,0CF00300,Data,8,FF 00 64 FF 00 FF FF FF,2214,
,80.13ms,Serial1,0CEFFF00,Data,8,64 06 8C 7D FF FF FF FF,4C16,
,80.16ms,Serial1,18EF0600,Data,8,64 0E 33 0E FF FF FF FF,5F5D,
,89.06ms,Serial1,0CF00400,Data,8,FE FF BA AE 0A FF FF FF,5F43,
,99.58ms,Serial1,0CF00300,Data,8,FF 00 64 FF 00 FF FF FF,2214,
,99.62ms,Serial1,0CEFFF00,Data,8,64 06 8C 7D FF FF FF,,
